idx,t_iso,elapsed_s,ocr_text,extracted_number,img_path
1,2025-09-08T11:46:47.424314,0.0,1,1,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z300mm/x500mm_y0mm/raster_log_2025-09-08 11:41:57.047_z300mm_x500mm_y0mm_2025-09-08_11-46-47.423_000.png
2,2025-09-08T11:46:47.923739,0.502,oo,0,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z300mm/x500mm_y0mm/raster_log_2025-09-08 11:41:57.047_z300mm_x500mm_y0mm_2025-09-08_11-46-47.923_001.png
3,2025-09-08T11:46:48.421784,1.001,3,3,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z300mm/x500mm_y0mm/raster_log_2025-09-08 11:41:57.047_z300mm_x500mm_y0mm_2025-09-08_11-46-48.421_002.png
4,2025-09-08T11:46:48.922014,1.502,3,3,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z300mm/x500mm_y0mm/raster_log_2025-09-08 11:41:57.047_z300mm_x500mm_y0mm_2025-09-08_11-46-48.921_003.png
5,2025-09-08T11:46:49.423987,2.001,4,4,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z300mm/x500mm_y0mm/raster_log_2025-09-08 11:41:57.047_z300mm_x500mm_y0mm_2025-09-08_11-46-49.423_004.png
6,2025-09-08T11:46:49.923308,2.502,2,2,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z300mm/x500mm_y0mm/raster_log_2025-09-08 11:41:57.047_z300mm_x500mm_y0mm_2025-09-08_11-46-49.922_005.png
7,2025-09-08T11:46:50.425712,3.002,2,2,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z300mm/x500mm_y0mm/raster_log_2025-09-08 11:41:57.047_z300mm_x500mm_y0mm_2025-09-08_11-46-50.425_006.png
8,2025-09-08T11:46:50.932646,3.502,2,2,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z300mm/x500mm_y0mm/raster_log_2025-09-08 11:41:57.047_z300mm_x500mm_y0mm_2025-09-08_11-46-50.932_007.png
9,2025-09-08T11:46:51.433533,4.0,2,2,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z300mm/x500mm_y0mm/raster_log_2025-09-08 11:41:57.047_z300mm_x500mm_y0mm_2025-09-08_11-46-51.433_008.png
10,2025-09-08T11:46:51.927718,4.5,1,1,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z300mm/x500mm_y0mm/raster_log_2025-09-08 11:41:57.047_z300mm_x500mm_y0mm_2025-09-08_11-46-51.927_009.png
