idx,t_iso,elapsed_s,ocr_text,extracted_number,img_path
1,2025-09-08T11:28:44.113665,0.003,oo,0,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z40mm/x450mm_y200mm/raster_log_2025-09-08 11:27:58.027_z40mm_x450mm_y200mm_2025-09-08_11-28-44.113_000.png
2,2025-09-08T11:28:44.608966,0.5,0o,0,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z40mm/x450mm_y200mm/raster_log_2025-09-08 11:27:58.027_z40mm_x450mm_y200mm_2025-09-08_11-28-44.608_001.png
3,2025-09-08T11:28:45.102526,1.002,0o,0,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z40mm/x450mm_y200mm/raster_log_2025-09-08 11:27:58.027_z40mm_x450mm_y200mm_2025-09-08_11-28-45.102_002.png
4,2025-09-08T11:28:45.606224,1.501,0o,0,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z40mm/x450mm_y200mm/raster_log_2025-09-08 11:27:58.027_z40mm_x450mm_y200mm_2025-09-08_11-28-45.605_003.png
5,2025-09-08T11:28:46.102777,2.002,0o,0,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z40mm/x450mm_y200mm/raster_log_2025-09-08 11:27:58.027_z40mm_x450mm_y200mm_2025-09-08_11-28-46.102_004.png
6,2025-09-08T11:28:46.606634,2.502,0o,0,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z40mm/x450mm_y200mm/raster_log_2025-09-08 11:27:58.027_z40mm_x450mm_y200mm_2025-09-08_11-28-46.605_005.png
7,2025-09-08T11:28:47.111812,3.0,oo,0,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z40mm/x450mm_y200mm/raster_log_2025-09-08 11:27:58.027_z40mm_x450mm_y200mm_2025-09-08_11-28-47.111_006.png
8,2025-09-08T11:28:47.602343,3.5,oo,0,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z40mm/x450mm_y200mm/raster_log_2025-09-08 11:27:58.027_z40mm_x450mm_y200mm_2025-09-08_11-28-47.601_007.png
9,2025-09-08T11:28:48.104448,4.0,0o,0,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z40mm/x450mm_y200mm/raster_log_2025-09-08 11:27:58.027_z40mm_x450mm_y200mm_2025-09-08_11-28-48.103_008.png
10,2025-09-08T11:28:48.604120,4.501,0o,0,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z40mm/x450mm_y200mm/raster_log_2025-09-08 11:27:58.027_z40mm_x450mm_y200mm_2025-09-08_11-28-48.603_009.png
