idx,t_iso,elapsed_s,ocr_time,ocr_date,ocr_text,img_path
1,2025-08-25T13:48:47.860299,0.0,,,"2025082
02025082 :
:
5::.
.
0",/home/hannah_kunze/catkin_ws/raster_results/screenshots/z150mm/x400mm_y50mm/raster_log_2025-08-25 13:48:23.856_z150mm_x400mm_y50mm_2025-08-25 13:48:47.858_000.png
2,2025-08-25T13:48:48.855022,1.004,,,"2025082
02025082 :
:
5::.
.
0",/home/hannah_kunze/catkin_ws/raster_results/screenshots/z150mm/x400mm_y50mm/raster_log_2025-08-25 13:48:23.856_z150mm_x400mm_y50mm_2025-08-25 13:48:48.852_001.png
3,2025-08-25T13:48:49.817825,2.004,,,"2025082
02025082 :
:
100
5::.
.
0",/home/hannah_kunze/catkin_ws/raster_results/screenshots/z150mm/x400mm_y50mm/raster_log_2025-08-25 13:48:23.856_z150mm_x400mm_y50mm_2025-08-25 13:48:49.815_002.png
4,2025-08-25T13:48:50.826836,3.004,,,"2025082
02025082 :
:
100
5::.
.
0",/home/hannah_kunze/catkin_ws/raster_results/screenshots/z150mm/x400mm_y50mm/raster_log_2025-08-25 13:48:23.856_z150mm_x400mm_y50mm_2025-08-25 13:48:50.824_003.png
5,2025-08-25T13:48:51.816446,4.004,,,"2025082
02025082 :
:
100
5::.
.
0",/home/hannah_kunze/catkin_ws/raster_results/screenshots/z150mm/x400mm_y50mm/raster_log_2025-08-25 13:48:23.856_z150mm_x400mm_y50mm_2025-08-25 13:48:51.814_004.png
6,2025-08-25T13:48:52.784197,5.004,,,"2025082
02025082 :
100
:0
.
0",/home/hannah_kunze/catkin_ws/raster_results/screenshots/z150mm/x400mm_y50mm/raster_log_2025-08-25 13:48:23.856_z150mm_x400mm_y50mm_2025-08-25 13:48:52.782_005.png
7,2025-08-25T13:48:53.813421,6.004,,,"2025082
02025082 :
:
100
5::.
.
0",/home/hannah_kunze/catkin_ws/raster_results/screenshots/z150mm/x400mm_y50mm/raster_log_2025-08-25 13:48:23.856_z150mm_x400mm_y50mm_2025-08-25 13:48:53.811_006.png
8,2025-08-25T13:48:54.851874,7.004,,,"2025082
02025082 :
:
5::.
.
0",/home/hannah_kunze/catkin_ws/raster_results/screenshots/z150mm/x400mm_y50mm/raster_log_2025-08-25 13:48:23.856_z150mm_x400mm_y50mm_2025-08-25 13:48:54.849_007.png
9,2025-08-25T13:48:55.859737,8.004,,,"2025082
02025082 :
:
2
5::.
.
0",/home/hannah_kunze/catkin_ws/raster_results/screenshots/z150mm/x400mm_y50mm/raster_log_2025-08-25 13:48:23.856_z150mm_x400mm_y50mm_2025-08-25 13:48:55.857_008.png
