x,y,z,reachable,fraction,radial_distance,time_start,time_end
0.37,-0.004,0.201,True,1.0,0.1971,2025-08-19 14:45:01,2025-08-19 14:45:03
0.37,-0.002,0.201,True,1.0,0.197,2025-08-19 14:45:03,2025-08-19 14:45:04
0.37,0.0,0.201,True,1.0,0.197,2025-08-19 14:45:04,2025-08-19 14:45:06
0.37,0.002,0.201,True,1.0,0.197,2025-08-19 14:45:06,2025-08-19 14:45:07
0.37,0.004,0.201,True,1.0,0.1971,2025-08-19 14:45:07,2025-08-19 14:45:09
0.372,-0.004,0.201,True,1.0,0.1973,2025-08-19 14:45:09,2025-08-19 14:45:10
0.372,-0.002,0.201,True,1.0,0.1972,2025-08-19 14:45:10,2025-08-19 14:45:12
0.372,0.0,0.201,True,1.0,0.1972,2025-08-19 14:45:12,2025-08-19 14:45:13
0.372,0.002,0.201,True,1.0,0.1972,2025-08-19 14:45:13,2025-08-19 14:45:15
0.372,0.004,0.201,True,1.0,0.1973,2025-08-19 14:45:15,2025-08-19 14:45:16
0.374,-0.004,0.201,True,1.0,0.1975,2025-08-19 14:45:16,2025-08-19 14:45:18
0.374,-0.002,0.201,True,1.0,0.1975,2025-08-19 14:45:18,2025-08-19 14:45:20
0.374,0.0,0.201,True,1.0,0.1975,2025-08-19 14:45:20,2025-08-19 14:45:21
0.374,0.002,0.201,True,1.0,0.1975,2025-08-19 14:45:21,2025-08-19 14:45:23
0.374,0.004,0.201,True,1.0,0.1975,2025-08-19 14:45:23,2025-08-19 14:45:24
0.376,-0.004,0.201,True,1.0,0.1978,2025-08-19 14:45:24,2025-08-19 14:45:26
0.376,-0.002,0.201,True,1.0,0.1977,2025-08-19 14:45:26,2025-08-19 14:45:27
0.376,0.0,0.201,True,1.0,0.1977,2025-08-19 14:45:27,2025-08-19 14:45:29
0.376,0.002,0.201,True,1.0,0.1977,2025-08-19 14:45:29,2025-08-19 14:45:30
0.376,0.004,0.201,True,1.0,0.1978,2025-08-19 14:45:30,2025-08-19 14:45:32
0.378,-0.004,0.201,True,1.0,0.198,2025-08-19 14:45:32,2025-08-19 14:45:33
0.378,-0.002,0.201,True,1.0,0.198,2025-08-19 14:45:33,2025-08-19 14:45:35
0.378,0.0,0.201,True,1.0,0.198,2025-08-19 14:45:35,2025-08-19 14:45:36
0.378,0.002,0.201,True,1.0,0.198,2025-08-19 14:45:36,2025-08-19 14:45:38
0.378,0.004,0.201,True,1.0,0.198,2025-08-19 14:45:38,2025-08-19 14:45:39
