x,y,z,tilt_axis,tilt_angle_deg,reachable,fraction,radial_distance,time_start,time_end
0.275,-0.05,0.2,x,0.0,True,1.0,0.2074,2025-08-18 15:10:36,2025-08-18 15:10:38
0.275,-0.05,0.2,x,10.0,True,1.0,0.2074,2025-08-18 15:10:41,2025-08-18 15:10:43
0.275,-0.05,0.2,x,20.0,True,1.0,0.2074,2025-08-18 15:10:45,2025-08-18 15:10:47
0.275,0.0,0.2,x,0.0,True,1.0,0.2013,2025-08-18 15:10:51,2025-08-18 15:10:53
0.275,0.0,0.2,x,10.0,True,1.0,0.2013,2025-08-18 15:10:55,2025-08-18 15:10:57
0.275,0.0,0.2,x,20.0,True,1.0,0.2013,2025-08-18 15:11:00,2025-08-18 15:11:02
