z,attempt,points_total,points_reached,reach_fraction,delta,raster_size,auto_success,started_at,finished_at,csv_path
0.2,1,25,25,1.0,0.002,5,True,2025-08-19 14:46:26,2025-08-19 14:47:02,/home/hannah_kunze/catkin_ws/raster_results/raster_log_2025-08-19_14-46-24_z0_200mm.csv
0.201,1,25,25,1.0,0.002,5,True,2025-08-19 14:47:11,2025-08-19 14:47:46,/home/hannah_kunze/catkin_ws/raster_results/raster_log_2025-08-19_14-46-24_z0_201mm.csv
