x,y,z,reachable,fraction,radial_distance,time_start,time_end
0.37,-0.07500000000000001,0.2,True,1.0,0.2099,2025-08-19 14:12:38,2025-08-19 14:12:40
0.37,-0.02500000000000001,0.2,True,1.0,0.1976,2025-08-19 14:12:40,2025-08-19 14:12:42
0.37,0.024999999999999994,0.2,True,1.0,0.1976,2025-08-19 14:12:42,2025-08-19 14:12:44
0.37,0.07500000000000001,0.2,True,1.0,0.2099,2025-08-19 14:12:44,2025-08-19 14:12:46
0.42,-0.07500000000000001,0.2,True,1.0,0.2203,2025-08-19 14:12:46,2025-08-19 14:12:48
0.42,-0.02500000000000001,0.2,True,1.0,0.2087,2025-08-19 14:12:48,2025-08-19 14:12:50
0.42,0.024999999999999994,0.2,True,1.0,0.2087,2025-08-19 14:12:50,2025-08-19 14:12:52
0.42,0.07500000000000001,0.2,True,1.0,0.2203,2025-08-19 14:12:52,2025-08-19 14:12:53
0.47,-0.07500000000000001,0.2,True,1.0,0.2409,2025-08-19 14:12:54,2025-08-19 14:12:56
0.47,-0.02500000000000001,0.2,True,1.0,0.2303,2025-08-19 14:12:56,2025-08-19 14:12:57
0.47,0.024999999999999994,0.2,True,1.0,0.2303,2025-08-19 14:12:57,2025-08-19 14:12:59
0.47,0.07500000000000001,0.2,True,1.0,0.2409,2025-08-19 14:12:59,2025-08-19 14:13:01
0.52,-0.07500000000000001,0.2,True,1.0,0.2694,2025-08-19 14:13:01,2025-08-19 14:13:03
0.52,-0.02500000000000001,0.2,True,1.0,0.2599,2025-08-19 14:13:03,2025-08-19 14:13:05
0.52,0.024999999999999994,0.2,True,1.0,0.2599,2025-08-19 14:13:05,2025-08-19 14:13:07
0.52,0.07500000000000001,0.2,True,1.0,0.2694,2025-08-19 14:13:07,2025-08-19 14:13:08
