x,y,z,tilt_axis,tilt_angle_deg,reachable,fraction,radial_distance,time_start,time_end
0.285,-0.065,0.1,x,0.0,True,1.0,0.1322,2025-08-18 15:04:48,2025-08-18 15:04:51
0.285,-0.065,0.1,x,10.0,True,1.0,0.1322,2025-08-18 15:04:54,2025-08-18 15:04:56
0.285,-0.065,0.1,x,20.0,True,1.0,0.1322,2025-08-18 15:04:59,2025-08-18 15:05:01
0.285,-0.055,0.1,x,0.0,True,1.0,0.1276,2025-08-18 15:05:04,2025-08-18 15:05:07
0.285,-0.055,0.1,x,10.0,True,1.0,0.1276,2025-08-18 15:05:10,2025-08-18 15:05:12
0.285,-0.055,0.1,x,20.0,True,1.0,0.1276,2025-08-18 15:05:15,2025-08-18 15:05:17
0.285,-0.045,0.1,x,0.0,True,1.0,0.1236,2025-08-18 15:05:20,2025-08-18 15:05:22
0.285,-0.045,0.1,x,10.0,False,-1.0,0.1236,,
0.285,-0.045,0.1,x,20.0,False,-1.0,0.1236,,
0.285,-0.035,0.1,x,0.0,False,-1.0,0.1203,,
0.285,-0.035,0.1,x,10.0,False,-1.0,0.1203,,
0.285,-0.035,0.1,x,20.0,False,-1.0,0.1203,,
0.285,-0.025,0.1,x,0.0,False,-1.0,0.1178,,
0.285,-0.025,0.1,x,10.0,False,-1.0,0.1178,,
0.285,-0.025,0.1,x,20.0,False,-1.0,0.1178,,
0.285,-0.015,0.1,x,0.0,False,-1.0,0.1161,,
0.285,-0.015,0.1,x,10.0,False,-1.0,0.1161,,
0.285,-0.015,0.1,x,20.0,False,-1.0,0.1161,,
0.285,-0.0050000000000000044,0.1,x,0.0,False,-1.0,0.1152,,
0.285,-0.0050000000000000044,0.1,x,10.0,False,-1.0,0.1152,,
0.285,-0.0050000000000000044,0.1,x,20.0,False,-1.0,0.1152,,
0.285,0.0050000000000000044,0.1,x,0.0,False,-1.0,0.1152,,
0.285,0.0050000000000000044,0.1,x,10.0,False,-1.0,0.1152,,
0.285,0.0050000000000000044,0.1,x,20.0,False,-1.0,0.1152,,
0.285,0.015,0.1,x,0.0,False,-1.0,0.1161,,
0.285,0.015,0.1,x,10.0,False,-1.0,0.1161,,
0.285,0.015,0.1,x,20.0,False,-1.0,0.1161,,
0.285,0.024999999999999994,0.1,x,0.0,False,-1.0,0.1178,,
0.285,0.024999999999999994,0.1,x,10.0,False,-1.0,0.1178,,
0.285,0.024999999999999994,0.1,x,20.0,False,-1.0,0.1178,,
0.285,0.035,0.1,x,0.0,False,-1.0,0.1203,,
0.285,0.035,0.1,x,10.0,False,-1.0,0.1203,,
0.285,0.035,0.1,x,20.0,False,-1.0,0.1203,,
0.285,0.045,0.1,x,0.0,False,-1.0,0.1236,,
0.285,0.045,0.1,x,10.0,False,-1.0,0.1236,,
0.285,0.045,0.1,x,20.0,False,-1.0,0.1236,,
0.285,0.05499999999999999,0.1,x,0.0,False,-1.0,0.1276,,
0.285,0.05499999999999999,0.1,x,10.0,False,-1.0,0.1276,,
0.285,0.05499999999999999,0.1,x,20.0,False,-1.0,0.1276,,
0.285,0.065,0.1,x,0.0,False,-1.0,0.1322,,
