x,y,z,reachable,fraction,radial_distance,time_start,time_end
0.37,-0.07500000000000001,0.2,True,1.0,0.2099,2025-08-19 14:30:38,2025-08-19 14:30:41
0.37,-0.02500000000000001,0.2,True,1.0,0.1976,2025-08-19 14:30:41,2025-08-19 14:30:43
0.37,0.024999999999999994,0.2,True,1.0,0.1976,2025-08-19 14:30:43,2025-08-19 14:30:45
0.37,0.07500000000000001,0.2,True,1.0,0.2099,2025-08-19 14:30:45,2025-08-19 14:30:46
0.42,-0.07500000000000001,0.2,True,1.0,0.2203,2025-08-19 14:30:46,2025-08-19 14:30:49
0.42,-0.02500000000000001,0.2,True,1.0,0.2087,2025-08-19 14:30:49,2025-08-19 14:30:51
0.42,0.024999999999999994,0.2,True,1.0,0.2087,2025-08-19 14:30:51,2025-08-19 14:30:52
0.42,0.07500000000000001,0.2,True,1.0,0.2203,2025-08-19 14:30:52,2025-08-19 14:30:54
0.47,-0.07500000000000001,0.2,True,1.0,0.2409,2025-08-19 14:30:54,2025-08-19 14:30:56
0.47,-0.02500000000000001,0.2,True,1.0,0.2303,2025-08-19 14:30:56,2025-08-19 14:30:58
0.47,0.024999999999999994,0.2,True,1.0,0.2303,2025-08-19 14:30:58,2025-08-19 14:31:00
0.47,0.07500000000000001,0.2,True,1.0,0.2409,2025-08-19 14:31:00,2025-08-19 14:31:02
0.52,-0.07500000000000001,0.2,True,1.0,0.2694,2025-08-19 14:31:02,2025-08-19 14:31:04
0.52,-0.02500000000000001,0.2,True,1.0,0.2599,2025-08-19 14:31:04,2025-08-19 14:31:06
0.52,0.024999999999999994,0.2,True,1.0,0.2599,2025-08-19 14:31:06,2025-08-19 14:31:07
0.52,0.07500000000000001,0.2,True,1.0,0.2694,2025-08-19 14:31:07,2025-08-19 14:31:09
