x,y,z,reachable,fraction,radial_distance,time_start,time_end
0.17999999999999994,-0.07500000000000001,0.2,False,0.79,0.2694,,
0.17999999999999994,-0.02500000000000001,0.2,False,0.77,0.2599,,
0.17999999999999994,0.024999999999999994,0.2,False,0.77,0.2599,,
0.17999999999999994,0.07500000000000001,0.2,False,0.79,0.2694,,
0.22999999999999993,-0.07500000000000001,0.2,True,0.9,0.2409,2025-08-19 14:01:19,2025-08-19 14:01:23
0.22999999999999993,-0.02500000000000001,0.2,False,0.0,0.2303,,
0.22999999999999993,0.024999999999999994,0.2,False,0.0,0.2303,,
0.22999999999999993,0.07500000000000001,0.2,False,0.0,0.2409,,
0.2799999999999999,-0.07500000000000001,0.2,True,1.0,0.2203,2025-08-19 14:01:23,2025-08-19 14:01:25
0.2799999999999999,-0.02500000000000001,0.2,True,1.0,0.2087,2025-08-19 14:01:25,2025-08-19 14:01:27
0.2799999999999999,0.024999999999999994,0.2,True,1.0,0.2087,2025-08-19 14:01:27,2025-08-19 14:01:29
0.2799999999999999,0.07500000000000001,0.2,True,1.0,0.2203,2025-08-19 14:01:29,2025-08-19 14:01:31
0.32999999999999996,-0.07500000000000001,0.2,True,1.0,0.2099,2025-08-19 14:01:31,2025-08-19 14:01:34
0.32999999999999996,-0.02500000000000001,0.2,True,1.0,0.1976,2025-08-19 14:01:34,2025-08-19 14:01:36
0.32999999999999996,0.024999999999999994,0.2,True,1.0,0.1976,2025-08-19 14:01:36,2025-08-19 14:01:37
0.32999999999999996,0.07500000000000001,0.2,True,1.0,0.2099,2025-08-19 14:01:37,2025-08-19 14:01:39
