x,y,z,reachable,fraction,radial_distance,time_start,time_end
0.38,-0.004,0.201,True,1.0,0.1983,2025-08-19 15:00:25,2025-08-19 15:00:27
0.38,-0.002,0.201,True,1.0,0.1983,2025-08-19 15:00:27,2025-08-19 15:00:29
0.38,0.0,0.201,True,1.0,0.1983,2025-08-19 15:00:29,2025-08-19 15:00:30
0.38,0.002,0.201,True,1.0,0.1983,2025-08-19 15:00:30,2025-08-19 15:00:32
0.38,0.004,0.201,True,1.0,0.1983,2025-08-19 15:00:32,2025-08-19 15:00:33
0.382,-0.004,0.201,True,1.0,0.1986,2025-08-19 15:00:33,2025-08-19 15:00:35
0.382,-0.002,0.201,True,1.0,0.1986,2025-08-19 15:00:35,2025-08-19 15:00:36
0.382,0.0,0.201,True,1.0,0.1986,2025-08-19 15:00:36,2025-08-19 15:00:38
0.382,0.002,0.201,True,1.0,0.1986,2025-08-19 15:00:38,2025-08-19 15:00:39
0.382,0.004,0.201,True,1.0,0.1986,2025-08-19 15:00:39,2025-08-19 15:00:41
0.384,-0.004,0.201,True,1.0,0.199,2025-08-19 15:00:41,2025-08-19 15:00:42
0.384,-0.002,0.201,True,1.0,0.1989,2025-08-19 15:00:42,2025-08-19 15:00:44
0.384,0.0,0.201,True,1.0,0.1989,2025-08-19 15:00:44,2025-08-19 15:00:45
0.384,0.002,0.201,True,1.0,0.1989,2025-08-19 15:00:45,2025-08-19 15:00:47
0.384,0.004,0.201,True,1.0,0.199,2025-08-19 15:00:47,2025-08-19 15:00:48
0.386,-0.004,0.201,True,1.0,0.1993,2025-08-19 15:00:48,2025-08-19 15:00:50
0.386,-0.002,0.201,True,1.0,0.1993,2025-08-19 15:00:50,2025-08-19 15:00:51
0.386,0.0,0.201,True,1.0,0.1993,2025-08-19 15:00:51,2025-08-19 15:00:53
0.386,0.002,0.201,True,1.0,0.1993,2025-08-19 15:00:53,2025-08-19 15:00:54
0.386,0.004,0.201,True,1.0,0.1993,2025-08-19 15:00:54,2025-08-19 15:00:56
0.388,-0.004,0.201,True,1.0,0.1997,2025-08-19 15:00:56,2025-08-19 15:00:58
0.388,-0.002,0.201,True,1.0,0.1997,2025-08-19 15:00:58,2025-08-19 15:00:59
0.388,0.0,0.201,True,1.0,0.1996,2025-08-19 15:00:59,2025-08-19 15:01:01
0.388,0.002,0.201,True,1.0,0.1997,2025-08-19 15:01:01,2025-08-19 15:01:02
0.388,0.004,0.201,True,1.0,0.1997,2025-08-19 15:01:02,2025-08-19 15:01:04
