x,y,z,tilt_axis,tilt_angle_deg,reachable,fraction,radial_distance,time_start,time_end
0.25,-0.05,0.2,x,0.0,True,0.95,0.2074,2025-08-18 15:43:35,2025-08-18 15:43:39
0.25,-0.05,0.2,x,10.0,True,1.0,0.2074,2025-08-18 15:43:39,2025-08-18 15:43:41
0.25,-0.05,0.2,x,20.0,True,1.0,0.2074,2025-08-18 15:43:41,2025-08-18 15:43:44
0.25,0.0,0.2,x,0.0,False,0.21,0.2013,,
0.25,0.0,0.2,x,10.0,False,0.5,0.2013,,
0.25,0.0,0.2,x,20.0,True,1.0,0.2013,2025-08-18 15:43:44,2025-08-18 15:43:46
0.25,0.05,0.2,x,0.0,False,0.12,0.2074,,
0.25,0.05,0.2,x,10.0,False,0.25,0.2074,,
0.25,0.05,0.2,x,20.0,False,0.47,0.2074,,
0.3,-0.05,0.2,x,0.0,True,1.0,0.2013,2025-08-18 15:43:46,2025-08-18 15:43:48
0.3,-0.05,0.2,x,10.0,True,1.0,0.2013,2025-08-18 15:43:48,2025-08-18 15:43:50
