x,y,z,reachable,fraction,radial_distance,time_start,time_end
0.37,-0.004,0.2,True,1.0,0.1961,2025-08-19 14:46:26,2025-08-19 14:46:29
0.37,-0.002,0.2,True,1.0,0.196,2025-08-19 14:46:29,2025-08-19 14:46:30
0.37,0.0,0.2,True,1.0,0.196,2025-08-19 14:46:30,2025-08-19 14:46:32
0.37,0.002,0.2,True,1.0,0.196,2025-08-19 14:46:32,2025-08-19 14:46:33
0.37,0.004,0.2,True,1.0,0.1961,2025-08-19 14:46:33,2025-08-19 14:46:34
0.372,-0.004,0.2,True,1.0,0.1963,2025-08-19 14:46:34,2025-08-19 14:46:36
0.372,-0.002,0.2,True,1.0,0.1962,2025-08-19 14:46:36,2025-08-19 14:46:37
0.372,0.0,0.2,True,1.0,0.1962,2025-08-19 14:46:37,2025-08-19 14:46:38
0.372,0.002,0.2,True,1.0,0.1962,2025-08-19 14:46:38,2025-08-19 14:46:40
0.372,0.004,0.2,True,1.0,0.1963,2025-08-19 14:46:40,2025-08-19 14:46:41
0.374,-0.004,0.2,True,1.0,0.1965,2025-08-19 14:46:41,2025-08-19 14:46:43
0.374,-0.002,0.2,True,1.0,0.1965,2025-08-19 14:46:43,2025-08-19 14:46:44
0.374,0.0,0.2,True,1.0,0.1965,2025-08-19 14:46:44,2025-08-19 14:46:45
0.374,0.002,0.2,True,1.0,0.1965,2025-08-19 14:46:45,2025-08-19 14:46:47
0.374,0.004,0.2,True,1.0,0.1965,2025-08-19 14:46:47,2025-08-19 14:46:48
0.376,-0.004,0.2,True,1.0,0.1968,2025-08-19 14:46:48,2025-08-19 14:46:50
0.376,-0.002,0.2,True,1.0,0.1967,2025-08-19 14:46:50,2025-08-19 14:46:51
0.376,0.0,0.2,True,1.0,0.1967,2025-08-19 14:46:51,2025-08-19 14:46:52
0.376,0.002,0.2,True,1.0,0.1967,2025-08-19 14:46:52,2025-08-19 14:46:54
0.376,0.004,0.2,True,1.0,0.1968,2025-08-19 14:46:54,2025-08-19 14:46:55
0.378,-0.004,0.2,True,1.0,0.197,2025-08-19 14:46:55,2025-08-19 14:46:57
0.378,-0.002,0.2,True,1.0,0.197,2025-08-19 14:46:57,2025-08-19 14:46:58
0.378,0.0,0.2,True,1.0,0.197,2025-08-19 14:46:58,2025-08-19 14:46:59
0.378,0.002,0.2,True,1.0,0.197,2025-08-19 14:46:59,2025-08-19 14:47:01
0.378,0.004,0.2,True,1.0,0.197,2025-08-19 14:47:01,2025-08-19 14:47:02
