x,y,z,reachable,fraction,radial_distance,time_start,time_end
0.37,-0.004,0.201,True,1.0,0.1971,2025-08-19 14:47:11,2025-08-19 14:47:13
0.37,-0.002,0.201,True,1.0,0.197,2025-08-19 14:47:13,2025-08-19 14:47:14
0.37,0.0,0.201,True,1.0,0.197,2025-08-19 14:47:14,2025-08-19 14:47:15
0.37,0.002,0.201,True,1.0,0.197,2025-08-19 14:47:15,2025-08-19 14:47:17
0.37,0.004,0.201,True,1.0,0.1971,2025-08-19 14:47:17,2025-08-19 14:47:18
0.372,-0.004,0.201,True,1.0,0.1973,2025-08-19 14:47:18,2025-08-19 14:47:20
0.372,-0.002,0.201,True,1.0,0.1972,2025-08-19 14:47:20,2025-08-19 14:47:21
0.372,0.0,0.201,True,1.0,0.1972,2025-08-19 14:47:21,2025-08-19 14:47:22
0.372,0.002,0.201,True,1.0,0.1972,2025-08-19 14:47:22,2025-08-19 14:47:24
0.372,0.004,0.201,True,1.0,0.1973,2025-08-19 14:47:24,2025-08-19 14:47:25
0.374,-0.004,0.201,True,1.0,0.1975,2025-08-19 14:47:25,2025-08-19 14:47:26
0.374,-0.002,0.201,True,1.0,0.1975,2025-08-19 14:47:26,2025-08-19 14:47:28
0.374,0.0,0.201,True,1.0,0.1975,2025-08-19 14:47:28,2025-08-19 14:47:29
0.374,0.002,0.201,True,1.0,0.1975,2025-08-19 14:47:29,2025-08-19 14:47:30
0.374,0.004,0.201,True,1.0,0.1975,2025-08-19 14:47:30,2025-08-19 14:47:32
0.376,-0.004,0.201,True,1.0,0.1978,2025-08-19 14:47:32,2025-08-19 14:47:33
0.376,-0.002,0.201,True,1.0,0.1977,2025-08-19 14:47:33,2025-08-19 14:47:35
0.376,0.0,0.201,True,1.0,0.1977,2025-08-19 14:47:35,2025-08-19 14:47:36
0.376,0.002,0.201,True,1.0,0.1977,2025-08-19 14:47:36,2025-08-19 14:47:37
0.376,0.004,0.201,True,1.0,0.1978,2025-08-19 14:47:37,2025-08-19 14:47:39
0.378,-0.004,0.201,True,1.0,0.198,2025-08-19 14:47:39,2025-08-19 14:47:40
0.378,-0.002,0.201,True,1.0,0.198,2025-08-19 14:47:40,2025-08-19 14:47:42
0.378,0.0,0.201,True,1.0,0.198,2025-08-19 14:47:42,2025-08-19 14:47:43
0.378,0.002,0.201,True,1.0,0.198,2025-08-19 14:47:43,2025-08-19 14:47:44
0.378,0.004,0.201,True,1.0,0.198,2025-08-19 14:47:44,2025-08-19 14:47:46
