x,y,z,reachable,fraction,radial_distance,time_start,time_end
0.37,-0.07500000000000001,0.4,True,1.0,0.4026,2025-08-19 14:31:20,2025-08-19 14:31:23
0.37,-0.02500000000000001,0.4,True,1.0,0.3963,2025-08-19 14:31:23,2025-08-19 14:31:25
0.37,0.024999999999999994,0.4,True,1.0,0.3963,2025-08-19 14:31:25,2025-08-19 14:31:27
0.37,0.07500000000000001,0.4,True,1.0,0.4026,2025-08-19 14:31:27,2025-08-19 14:31:29
0.42,-0.07500000000000001,0.4,True,1.0,0.4081,2025-08-19 14:31:29,2025-08-19 14:31:31
0.42,-0.02500000000000001,0.4,True,1.0,0.4019,2025-08-19 14:31:31,2025-08-19 14:31:33
0.42,0.024999999999999994,0.4,True,1.0,0.4019,2025-08-19 14:31:33,2025-08-19 14:31:34
0.42,0.07500000000000001,0.4,True,1.0,0.4081,2025-08-19 14:31:34,2025-08-19 14:31:36
0.47,-0.07500000000000001,0.4,True,1.0,0.4196,2025-08-19 14:31:36,2025-08-19 14:31:38
0.47,-0.02500000000000001,0.4,True,1.0,0.4136,2025-08-19 14:31:38,2025-08-19 14:31:40
0.47,0.024999999999999994,0.4,True,1.0,0.4136,2025-08-19 14:31:40,2025-08-19 14:31:42
0.47,0.07500000000000001,0.4,True,1.0,0.4196,2025-08-19 14:31:42,2025-08-19 14:31:44
0.52,-0.07500000000000001,0.4,True,1.0,0.4365,2025-08-19 14:31:44,2025-08-19 14:31:46
0.52,-0.02500000000000001,0.4,True,1.0,0.4308,2025-08-19 14:31:46,2025-08-19 14:31:48
0.52,0.024999999999999994,0.4,True,1.0,0.4308,2025-08-19 14:31:48,2025-08-19 14:31:50
0.52,0.07500000000000001,0.4,True,1.0,0.4365,2025-08-19 14:31:50,2025-08-19 14:31:51
