x,y,z,tilt_axis,tilt_angle_deg,reachable,fraction,radial_distance,time_start,time_end
0.3,-0.025,0.02,x,0.0,True,1.0,0.0384,2025-08-18 11:40:35,2025-08-18 11:40:40
0.3,-0.025,0.02,x,10.0,True,1.0,0.0384,2025-08-18 11:40:40,2025-08-18 11:40:43
0.3,0.025,0.02,x,0.0,True,1.0,0.0384,2025-08-18 11:40:43,2025-08-18 11:40:47
0.3,0.025,0.02,x,10.0,True,1.0,0.0384,2025-08-18 11:40:47,2025-08-18 11:40:50
0.35,-0.025,0.02,x,0.0,True,1.0,0.0384,2025-08-18 11:40:50,2025-08-18 11:40:54
0.35,-0.025,0.02,x,10.0,True,1.0,0.0384,2025-08-18 11:40:54,2025-08-18 11:40:57
0.35,0.025,0.02,x,0.0,True,1.0,0.0384,2025-08-18 11:40:57,2025-08-18 11:41:00
0.35,0.025,0.02,x,10.0,True,1.0,0.0384,2025-08-18 11:41:00,2025-08-18 11:41:04
0.3,-0.025,0.1,x,0.0,True,1.0,0.1014,2025-08-18 11:41:04,2025-08-18 11:41:08
0.3,-0.025,0.1,x,10.0,True,1.0,0.1014,2025-08-18 11:41:08,2025-08-18 11:41:11
0.3,0.025,0.1,x,0.0,True,1.0,0.1014,2025-08-18 11:41:11,2025-08-18 11:41:14
0.3,0.025,0.1,x,10.0,True,1.0,0.1014,2025-08-18 11:41:14,2025-08-18 11:41:17
0.35,-0.025,0.1,x,0.0,True,1.0,0.1014,2025-08-18 11:41:17,2025-08-18 11:41:21
0.35,-0.025,0.1,x,10.0,True,1.0,0.1014,2025-08-18 11:41:21,2025-08-18 11:41:24
0.35,0.025,0.1,x,0.0,True,1.0,0.1014,2025-08-18 11:41:24,2025-08-18 11:41:27
0.35,0.025,0.1,x,10.0,True,1.0,0.1014,2025-08-18 11:41:27,2025-08-18 11:41:31
0.3,-0.025,0.3,x,0.0,True,1.0,0.2971,2025-08-18 11:41:31,2025-08-18 11:41:35
0.3,-0.025,0.3,x,10.0,True,1.0,0.2971,2025-08-18 11:41:35,2025-08-18 11:41:38
0.3,0.025,0.3,x,0.0,True,1.0,0.2971,2025-08-18 11:41:38,2025-08-18 11:41:41
0.3,0.025,0.3,x,10.0,True,1.0,0.2971,2025-08-18 11:41:41,2025-08-18 11:41:43
0.35,-0.025,0.3,x,0.0,True,1.0,0.2971,2025-08-18 11:41:43,2025-08-18 11:41:47
0.35,-0.025,0.3,x,10.0,True,1.0,0.2971,2025-08-18 11:41:47,2025-08-18 11:41:49
0.35,0.025,0.3,x,0.0,True,1.0,0.2971,2025-08-18 11:41:49,2025-08-18 11:41:52
0.35,0.025,0.3,x,10.0,True,1.0,0.2971,2025-08-18 11:41:52,2025-08-18 11:41:55
