x,y,z,tilt_axis,tilt_angle_deg,reachable,fraction,radial_distance,time_start,time_end
0.3125,-0.0375,0.2,45.0,0.0,True,1.0,0.2021,2025-08-19 11:39:50,2025-08-19 11:39:53
0.3125,-0.0375,0.2,45.0,10.0,True,1.0,0.2021,2025-08-19 11:39:53,2025-08-19 11:39:55
0.3125,-0.0375,0.2,45.0,0.0,True,1.0,0.2021,2025-08-19 11:39:55,2025-08-19 11:39:57
0.3125,-0.0325,0.2,40.9,0.0,True,1.0,0.2012,2025-08-19 11:39:57,2025-08-19 11:39:59
0.3125,-0.0325,0.2,40.9,10.0,True,1.0,0.2012,2025-08-19 11:39:59,2025-08-19 11:40:01
0.3125,-0.0325,0.2,40.9,0.0,True,1.0,0.2012,2025-08-19 11:40:01,2025-08-19 11:40:03
0.3125,-0.027499999999999997,0.2,36.3,0.0,True,1.0,0.2005,2025-08-19 11:40:03,2025-08-19 11:40:04
0.3125,-0.027499999999999997,0.2,36.3,10.0,True,1.0,0.2005,2025-08-19 11:40:04,2025-08-19 11:40:06
0.3125,-0.027499999999999997,0.2,36.3,0.0,True,1.0,0.2005,2025-08-19 11:40:06,2025-08-19 11:40:08
0.3125,-0.0225,0.2,31.0,0.0,True,1.0,0.1998,2025-08-19 11:40:08,2025-08-19 11:40:10
0.3125,-0.0225,0.2,31.0,10.0,True,1.0,0.1998,2025-08-19 11:40:10,2025-08-19 11:40:12
0.3125,-0.0225,0.2,31.0,0.0,True,1.0,0.1998,2025-08-19 11:40:12,2025-08-19 11:40:14
0.3125,-0.017499999999999998,0.2,25.0,0.0,True,1.0,0.1993,2025-08-19 11:40:14,2025-08-19 11:40:15
0.3125,-0.017499999999999998,0.2,25.0,10.0,True,1.0,0.1993,2025-08-19 11:40:15,2025-08-19 11:40:17
0.3125,-0.017499999999999998,0.2,25.0,0.0,True,1.0,0.1993,2025-08-19 11:40:17,2025-08-19 11:40:19
0.3125,-0.012499999999999997,0.2,18.4,0.0,True,1.0,0.199,2025-08-19 11:40:19,2025-08-19 11:40:21
0.3125,-0.012499999999999997,0.2,18.4,10.0,True,1.0,0.199,2025-08-19 11:40:21,2025-08-19 11:40:23
0.3125,-0.012499999999999997,0.2,18.4,0.0,True,1.0,0.199,2025-08-19 11:40:23,2025-08-19 11:40:25
0.3125,-0.0075,0.2,11.3,0.0,True,1.0,0.1987,2025-08-19 11:40:25,2025-08-19 11:40:27
0.3125,-0.0075,0.2,11.3,10.0,False,-1.0,0.1987,,
0.3125,-0.0075,0.2,11.3,0.0,False,-1.0,0.1987,,
0.3125,-0.0024999999999999953,0.2,3.8,0.0,False,-1.0,0.1986,,
0.3125,-0.0024999999999999953,0.2,3.8,10.0,False,-1.0,0.1986,,
0.3125,-0.0024999999999999953,0.2,3.8,0.0,False,-1.0,0.1986,,
0.3125,0.0025000000000000022,0.2,-3.8,0.0,False,-1.0,0.1986,,
0.3125,0.0025000000000000022,0.2,-3.8,10.0,False,-1.0,0.1986,,
0.3125,0.0025000000000000022,0.2,-3.8,0.0,False,-1.0,0.1986,,
0.3125,0.0075,0.2,-11.3,0.0,False,-1.0,0.1987,,
0.3125,0.0075,0.2,-11.3,10.0,False,-1.0,0.1987,,
0.3125,0.0075,0.2,-11.3,0.0,False,-1.0,0.1987,,
0.3125,0.012500000000000004,0.2,-18.4,0.0,False,-1.0,0.199,,
0.3125,0.012500000000000004,0.2,-18.4,10.0,False,-1.0,0.199,,
0.3125,0.012500000000000004,0.2,-18.4,0.0,False,-1.0,0.199,,
0.3125,0.0175,0.2,-25.0,0.0,False,-1.0,0.1993,,
0.3125,0.0175,0.2,-25.0,10.0,False,-1.0,0.1993,,
0.3125,0.0175,0.2,-25.0,0.0,False,-1.0,0.1993,,
0.3125,0.0225,0.2,-31.0,0.0,False,-1.0,0.1998,,
0.3125,0.0225,0.2,-31.0,10.0,False,-1.0,0.1998,,
0.3125,0.0225,0.2,-31.0,0.0,False,-1.0,0.1998,,
0.3125,0.027500000000000004,0.2,-36.3,0.0,False,-1.0,0.2005,,
0.3125,0.027500000000000004,0.2,-36.3,10.0,False,-1.0,0.2005,,
0.3125,0.027500000000000004,0.2,-36.3,0.0,False,-1.0,0.2005,,
0.3125,0.03250000000000001,0.2,-40.9,0.0,False,-1.0,0.2012,,
0.3125,0.03250000000000001,0.2,-40.9,10.0,False,-1.0,0.2012,,
0.3125,0.03250000000000001,0.2,-40.9,0.0,False,-1.0,0.2012,,
0.3125,0.0375,0.2,-45.0,0.0,False,-1.0,0.2021,,
0.3125,0.0375,0.2,-45.0,10.0,False,-1.0,0.2021,,
0.3125,0.0375,0.2,-45.0,0.0,False,-1.0,0.2021,,
0.3175,-0.0375,0.2,49.1,0.0,False,-1.0,0.2012,,
0.3175,-0.0375,0.2,49.1,10.0,False,-1.0,0.2012,,
0.3175,-0.0375,0.2,49.1,0.0,False,-1.0,0.2012,,
0.3175,-0.0325,0.2,45.0,0.0,False,-1.0,0.2003,,
0.3175,-0.0325,0.2,45.0,10.0,False,-1.0,0.2003,,
0.3175,-0.0325,0.2,45.0,0.0,False,-1.0,0.2003,,
