x,y,z,reachable,fraction,radial_distance,time_start,time_end
0.37,-0.07500000000000001,0.4,True,1.0,0.4026,2025-08-19 14:14:12,2025-08-19 14:14:15
0.37,-0.02500000000000001,0.4,True,1.0,0.3963,2025-08-19 14:14:15,2025-08-19 14:14:17
0.37,0.024999999999999994,0.4,True,1.0,0.3963,2025-08-19 14:14:17,2025-08-19 14:14:19
0.37,0.07500000000000001,0.4,True,1.0,0.4026,2025-08-19 14:14:19,2025-08-19 14:14:21
0.42,-0.07500000000000001,0.4,True,1.0,0.4081,2025-08-19 14:14:21,2025-08-19 14:14:23
0.42,-0.02500000000000001,0.4,True,1.0,0.4019,2025-08-19 14:14:23,2025-08-19 14:14:25
0.42,0.024999999999999994,0.4,True,1.0,0.4019,2025-08-19 14:14:25,2025-08-19 14:14:27
0.42,0.07500000000000001,0.4,True,1.0,0.4081,2025-08-19 14:14:27,2025-08-19 14:14:28
0.47,-0.07500000000000001,0.4,True,1.0,0.4196,2025-08-19 14:14:29,2025-08-19 14:14:31
0.47,-0.02500000000000001,0.4,True,1.0,0.4136,2025-08-19 14:14:31,2025-08-19 14:14:33
0.47,0.024999999999999994,0.4,True,1.0,0.4136,2025-08-19 14:14:33,2025-08-19 14:14:34
0.47,0.07500000000000001,0.4,True,1.0,0.4196,2025-08-19 14:14:34,2025-08-19 14:14:36
0.52,-0.07500000000000001,0.4,True,1.0,0.4365,2025-08-19 14:14:36,2025-08-19 14:14:38
0.52,-0.02500000000000001,0.4,True,1.0,0.4308,2025-08-19 14:14:38,2025-08-19 14:14:40
0.52,0.024999999999999994,0.4,True,1.0,0.4308,2025-08-19 14:14:40,2025-08-19 14:14:42
0.52,0.07500000000000001,0.4,True,1.0,0.4365,2025-08-19 14:14:42,2025-08-19 14:14:44
