x,y,z,reachable,fraction,radial_distance,time_start,time_end
0.38,-0.004,0.2,True,1.0,0.1973,2025-08-19 15:05:06,2025-08-19 15:05:09
0.38,-0.002,0.2,True,1.0,0.1973,2025-08-19 15:05:09,2025-08-19 15:05:10
0.38,0.0,0.2,True,1.0,0.1973,2025-08-19 15:05:10,2025-08-19 15:05:12
0.38,0.002,0.2,True,1.0,0.1973,2025-08-19 15:05:12,2025-08-19 15:05:13
0.38,0.004,0.2,True,1.0,0.1973,2025-08-19 15:05:13,2025-08-19 15:05:14
0.382,-0.004,0.2,True,1.0,0.1976,2025-08-19 15:05:14,2025-08-19 15:05:16
0.382,-0.002,0.2,True,1.0,0.1976,2025-08-19 15:05:16,2025-08-19 15:05:17
0.382,0.0,0.2,True,1.0,0.1976,2025-08-19 15:05:17,2025-08-19 15:05:19
0.382,0.002,0.2,True,1.0,0.1976,2025-08-19 15:05:19,2025-08-19 15:05:20
0.382,0.004,0.2,True,1.0,0.1976,2025-08-19 15:05:20,2025-08-19 15:05:21
0.384,-0.004,0.2,True,1.0,0.198,2025-08-19 15:05:21,2025-08-19 15:05:23
0.384,-0.002,0.2,True,1.0,0.198,2025-08-19 15:05:23,2025-08-19 15:05:24
0.384,0.0,0.2,True,1.0,0.1979,2025-08-19 15:05:24,2025-08-19 15:05:26
0.384,0.002,0.2,True,1.0,0.198,2025-08-19 15:05:26,2025-08-19 15:05:27
0.384,0.004,0.2,True,1.0,0.198,2025-08-19 15:05:27,2025-08-19 15:05:28
0.386,-0.004,0.2,True,1.0,0.1983,2025-08-19 15:05:28,2025-08-19 15:05:30
0.386,-0.002,0.2,True,1.0,0.1983,2025-08-19 15:05:30,2025-08-19 15:05:31
0.386,0.0,0.2,True,1.0,0.1983,2025-08-19 15:05:31,2025-08-19 15:05:33
0.386,0.002,0.2,True,1.0,0.1983,2025-08-19 15:05:33,2025-08-19 15:05:34
0.386,0.004,0.2,True,1.0,0.1983,2025-08-19 15:05:34,2025-08-19 15:05:35
0.388,-0.004,0.2,True,1.0,0.1987,2025-08-19 15:05:35,2025-08-19 15:05:37
0.388,-0.002,0.2,True,1.0,0.1987,2025-08-19 15:05:37,2025-08-19 15:05:38
0.388,0.0,0.2,True,1.0,0.1987,2025-08-19 15:05:38,2025-08-19 15:05:40
0.388,0.002,0.2,True,1.0,0.1987,2025-08-19 15:05:40,2025-08-19 15:05:41
0.388,0.004,0.2,True,1.0,0.1987,2025-08-19 15:05:41,2025-08-19 15:05:42
