z,attempt,points_total,points_reached,reach_fraction,delta,raster_size,auto_success,started_at,finished_at,csv_path
0.04,1,16,16,1.0,0.05,4,True,2025-09-08 11:33:53.619,2025-09-08 11:35:28.368,/home/hannah_kunze/catkin_ws/raster_results/raster_log_2025-09-08 11:33:51.609_z40mm.csv
0.06,1,16,16,1.0,0.05,4,True,2025-09-08 11:35:31.672,2025-09-08 11:37:06.727,/home/hannah_kunze/catkin_ws/raster_results/raster_log_2025-09-08 11:33:51.609_z60mm.csv
0.08,1,16,16,1.0,0.05,4,True,2025-09-08 11:37:09.464,2025-09-08 11:38:44.894,/home/hannah_kunze/catkin_ws/raster_results/raster_log_2025-09-08 11:33:51.609_z80mm.csv
