idx,t_iso,elapsed_s,ocr_text,extracted_number,img_path
1,2025-09-08T15:56:24.550664,0.0,1508,1508,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z5mm/x350mm_y10mm/raster_log_2025-09-08 15:56:00.688_z5mm_x350mm_y10mm_2025-09-08_15-56-24.550_000.png
2,2025-09-08T15:56:25.047785,0.502,1467,1467,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z5mm/x350mm_y10mm/raster_log_2025-09-08 15:56:00.688_z5mm_x350mm_y10mm_2025-09-08_15-56-25.047_001.png
3,2025-09-08T15:56:25.548199,1.001,990,990,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z5mm/x350mm_y10mm/raster_log_2025-09-08 15:56:00.688_z5mm_x350mm_y10mm_2025-09-08_15-56-25.547_002.png
4,2025-09-08T15:56:26.052028,1.502,418,418,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z5mm/x350mm_y10mm/raster_log_2025-09-08 15:56:00.688_z5mm_x350mm_y10mm_2025-09-08_15-56-26.051_003.png
5,2025-09-08T15:56:26.552341,2.002,121,121,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z5mm/x350mm_y10mm/raster_log_2025-09-08 15:56:00.688_z5mm_x350mm_y10mm_2025-09-08_15-56-26.551_004.png
6,2025-09-08T15:56:27.062192,2.502,86,86,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z5mm/x350mm_y10mm/raster_log_2025-09-08 15:56:00.688_z5mm_x350mm_y10mm_2025-09-08_15-56-27.061_005.png
7,2025-09-08T15:56:27.546309,3.0,80,80,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z5mm/x350mm_y10mm/raster_log_2025-09-08 15:56:00.688_z5mm_x350mm_y10mm_2025-09-08_15-56-27.545_006.png
8,2025-09-08T15:56:28.047799,3.501,91,91,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z5mm/x350mm_y10mm/raster_log_2025-09-08 15:56:00.688_z5mm_x350mm_y10mm_2025-09-08_15-56-28.047_007.png
9,2025-09-08T15:56:28.545881,4.002,88,88,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z5mm/x350mm_y10mm/raster_log_2025-09-08 15:56:00.688_z5mm_x350mm_y10mm_2025-09-08_15-56-28.545_008.png
10,2025-09-08T15:56:29.048203,4.502,88,88,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z5mm/x350mm_y10mm/raster_log_2025-09-08 15:56:00.688_z5mm_x350mm_y10mm_2025-09-08_15-56-29.047_009.png
11,2025-09-08T15:56:29.554436,5.002,85,85,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z5mm/x350mm_y10mm/raster_log_2025-09-08 15:56:00.688_z5mm_x350mm_y10mm_2025-09-08_15-56-29.553_010.png
12,2025-09-08T15:56:30.045534,5.5,93,93,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z5mm/x350mm_y10mm/raster_log_2025-09-08 15:56:00.688_z5mm_x350mm_y10mm_2025-09-08_15-56-30.044_011.png
13,2025-09-08T15:56:30.554001,6.001,98,98,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z5mm/x350mm_y10mm/raster_log_2025-09-08 15:56:00.688_z5mm_x350mm_y10mm_2025-09-08_15-56-30.553_012.png
14,2025-09-08T15:56:31.050317,6.501,89,89,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z5mm/x350mm_y10mm/raster_log_2025-09-08 15:56:00.688_z5mm_x350mm_y10mm_2025-09-08_15-56-31.049_013.png
15,2025-09-08T15:56:31.547946,7.001,99,99,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z5mm/x350mm_y10mm/raster_log_2025-09-08 15:56:00.688_z5mm_x350mm_y10mm_2025-09-08_15-56-31.547_014.png
16,2025-09-08T15:56:32.047098,7.501,86,86,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z5mm/x350mm_y10mm/raster_log_2025-09-08 15:56:00.688_z5mm_x350mm_y10mm_2025-09-08_15-56-32.046_015.png
17,2025-09-08T15:56:32.552646,8.002,85,85,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z5mm/x350mm_y10mm/raster_log_2025-09-08 15:56:00.688_z5mm_x350mm_y10mm_2025-09-08_15-56-32.552_016.png
18,2025-09-08T15:56:33.045518,8.502,93,93,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z5mm/x350mm_y10mm/raster_log_2025-09-08 15:56:00.688_z5mm_x350mm_y10mm_2025-09-08_15-56-33.044_017.png
