z,attempt,points_total,points_reached,reach_fraction,delta,raster_size,auto_success,started_at,finished_at,csv_path
0.15,1,8,4,0.5,0.05,2,False,2025-08-25 13:48:25.867,2025-08-25 13:49:06.391,/home/hannah_kunze/catkin_ws/raster_results/raster_log_2025-08-25 13:48:23.856_z150mm.csv
0.2,1,8,4,0.5,0.05,2,False,2025-08-25 13:49:55.080,2025-08-25 13:50:35.092,/home/hannah_kunze/catkin_ws/raster_results/raster_log_2025-08-25 13:48:23.856_z200mm.csv
0.3,1,8,4,0.5,0.05,2,False,2025-08-25 13:50:49.912,2025-08-25 13:51:30.092,/home/hannah_kunze/catkin_ws/raster_results/raster_log_2025-08-25 13:48:23.856_z300mm.csv
