x,y,z,reachable,fraction,radial_distance,t_start,t_end,ocr_series_csv,n_captures,ocr_raw,ocr_mean,ocr_n,ocr_times
0.353,0.003,0.001,True,1.0,0.0044,2025-09-08 15:36:09.721,2025-09-08 15:36:19.722,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z1mm/x353mm_y3mm/raster_log_2025-09-08 15:34:05.221_z1mm_x353mm_y3mm_ocr.csv,40,"1820, 1993, 1993, 1981, 1981, 1981, 1927, 1973, 1973, 1988, 1988, 1984, 2001, 2001, 1983, 1983, 2019, 2019, 2024, 2023, 2023, 1909, 1934, 1934, 2014, 2014, 2073, 2073",1986.04,28,"15:36:11, 15:36:11, 15:36:11, 15:36:12, 15:36:12, 15:36:12, 15:36:12, 15:36:13, 15:36:13, 15:36:13, 15:36:13, 15:36:14, 15:36:14, 15:36:14, 15:36:14, 15:36:15, 15:36:15, 15:36:15, 15:36:15, 15:36:16, 15:36:16, 15:36:16, 15:36:16, 15:36:17, 15:36:17, 15:36:17, 15:36:17, 15:36:18"
0.353,0.0,0.001,True,1.0,0.0032,2025-09-08 15:36:21.788,2025-09-08 15:36:31.789,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z1mm/x353mm_y0mm/raster_log_2025-09-08 15:34:05.221_z1mm_x353mm_y0mm_ocr.csv,40,"2395, 2576, 2576, 2644, 2644, 2597, 2607, 2607, 2663, 2663, 2638, 2638, 2597, 2545, 2545, 2493, 2567, 2567, 2621, 2621, 2632, 2632, 2582, 2613, 2613, 2600, 2600, 2524",2592.86,28,"15:36:23, 15:36:23, 15:36:23, 15:36:24, 15:36:24, 15:36:24, 15:36:24, 15:36:25, 15:36:25, 15:36:25, 15:36:25, 15:36:26, 15:36:26, 15:36:26, 15:36:26, 15:36:27, 15:36:27, 15:36:27, 15:36:27, 15:36:28, 15:36:28, 15:36:28, 15:36:28, 15:36:29, 15:36:29, 15:36:29, 15:36:29, 15:36:30"
0.356,0.0,0.001,True,1.0,0.0061,2025-09-08 15:36:33.821,2025-09-08 15:36:43.823,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z1mm/x356mm_y0mm/raster_log_2025-09-08 15:34:05.221_z1mm_x356mm_y0mm_ocr.csv,40,"373, 373, 365, 365, 389, 373, 373, 361, 361, 328, 328, 334, 336, 336, 326, 326, 326, 347, 347, 332, 332, 345, 366, 366, 363, 363, 357, 357",351.71,28,"15:36:35, 15:36:35, 15:36:35, 15:36:36, 15:36:36, 15:36:36, 15:36:36, 15:36:37, 15:36:37, 15:36:37, 15:36:37, 15:36:38, 15:36:38, 15:36:38, 15:36:38, 15:36:39, 15:36:39, 15:36:39, 15:36:39, 15:36:40, 15:36:40, 15:36:40, 15:36:40, 15:36:41, 15:36:41, 15:36:41, 15:36:41, 15:36:42"
0.356,0.003,0.001,True,1.0,0.0068,2025-09-08 15:36:45.854,2025-09-08 15:36:55.856,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z1mm/x356mm_y3mm/raster_log_2025-09-08 15:34:05.221_z1mm_x356mm_y3mm_ocr.csv,40,"266, 142, 142, 131, 128, 128, 127, 127, 128, 130, 130, 127, 127, 131, 131, 139, 132, 132, 131, 131, 146, 155, 155, 134, 127, 127, 121, 121",137.36,28,"15:36:47, 15:36:47, 15:36:47, 15:36:48, 15:36:48, 15:36:48, 15:36:48, 15:36:49, 15:36:49, 15:36:49, 15:36:49, 15:36:50, 15:36:50, 15:36:50, 15:36:50, 15:36:51, 15:36:51, 15:36:51, 15:36:51, 15:36:52, 15:36:52, 15:36:52, 15:36:52, 15:36:53, 15:36:53, 15:36:53, 15:36:53, 15:36:54"
0.356,0.006,0.001,True,1.0,0.0085,2025-09-08 15:36:57.888,2025-09-08 15:37:07.889,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z1mm/x356mm_y6mm/raster_log_2025-09-08 15:34:05.221_z1mm_x356mm_y6mm_ocr.csv,40,"9, 9, 8, 6, 6, 6, 6, 5, 8, 8, 9, 9, 8, 8, 7, 7, 7, 5, 5, 3, 3, 3, 7, 7, 3, 3, 3, 4",6.14,28,"15:36:59, 15:36:59, 15:36:59, 15:37:00, 15:37:00, 15:37:00, 15:37:00, 15:37:01, 15:37:01, 15:37:01, 15:37:01, 15:37:02, 15:37:02, 15:37:02, 15:37:02, 15:37:03, 15:37:03, 15:37:03, 15:37:03, 15:37:04, 15:37:04, 15:37:04, 15:37:04, 15:37:05, 15:37:05, 15:37:05, 15:37:05, 15:37:06"
0.356,0.009000000000000001,0.001,True,1.0,0.0109,2025-09-08 15:37:09.921,2025-09-08 15:37:19.922,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z1mm/x356mm_y9mm/raster_log_2025-09-08 15:34:05.221_z1mm_x356mm_y9mm_ocr.csv,40,"2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 3, 3, 3, 3, 3, 2, 2, 3, 3, 3, 3, 3, 1, 1, 2, 2, 2, 4",2.32,28,"15:37:11, 15:37:11, 15:37:11, 15:37:12, 15:37:12, 15:37:12, 15:37:12, 15:37:13, 15:37:13, 15:37:13, 15:37:13, 15:37:14, 15:37:14, 15:37:14, 15:37:14, 15:37:15, 15:37:15, 15:37:15, 15:37:15, 15:37:16, 15:37:16, 15:37:16, 15:37:16, 15:37:17, 15:37:17, 15:37:17, 15:37:17, 15:37:18"
0.356,0.012,0.001,True,1.0,0.0135,2025-09-08 15:37:21.955,2025-09-08 15:37:31.956,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z1mm/x356mm_y12mm/raster_log_2025-09-08 15:34:05.221_z1mm_x356mm_y12mm_ocr.csv,40,"1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2",0.75,28,"15:37:23, 15:37:23, 15:37:24, 15:37:24, 15:37:24, 15:37:24, 15:37:25, 15:37:25, 15:37:25, 15:37:25, 15:37:26, 15:37:26, 15:37:26, 15:37:26, 15:37:27, 15:37:27, 15:37:27, 15:37:27, 15:37:28, 15:37:28, 15:37:28, 15:37:28, 15:37:29, 15:37:29, 15:37:29, 15:37:29, 15:37:30, 15:37:30"
0.356,0.015,0.001,True,1.0,0.0162,2025-09-08 15:37:33.988,2025-09-08 15:37:43.990,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z1mm/x356mm_y15mm/raster_log_2025-09-08 15:34:05.221_z1mm_x356mm_y15mm_ocr.csv,40,"1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0",0.50,28,"15:37:35, 15:37:35, 15:37:36, 15:37:36, 15:37:36, 15:37:36, 15:37:37, 15:37:37, 15:37:37, 15:37:37, 15:37:38, 15:37:38, 15:37:38, 15:37:38, 15:37:39, 15:37:39, 15:37:39, 15:37:39, 15:37:40, 15:37:40, 15:37:40, 15:37:40, 15:37:41, 15:37:41, 15:37:41, 15:37:41, 15:37:42, 15:37:42"
0.359,0.015,0.001,True,1.0,0.0175,2025-09-08 15:37:46.021,2025-09-08 15:37:56.023,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z1mm/x359mm_y15mm/raster_log_2025-09-08 15:34:05.221_z1mm_x359mm_y15mm_ocr.csv,40,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1",0.11,28,"15:37:47, 15:37:47, 15:37:48, 15:37:48, 15:37:48, 15:37:48, 15:37:49, 15:37:49, 15:37:49, 15:37:49, 15:37:50, 15:37:50, 15:37:50, 15:37:50, 15:37:51, 15:37:51, 15:37:51, 15:37:51, 15:37:52, 15:37:52, 15:37:52, 15:37:52, 15:37:53, 15:37:53, 15:37:53, 15:37:53, 15:37:54, 15:37:54"
0.359,0.012,0.001,True,1.0,0.015,2025-09-08 15:37:58.054,2025-09-08 15:38:08.055,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z1mm/x359mm_y12mm/raster_log_2025-09-08 15:34:05.221_z1mm_x359mm_y12mm_ocr.csv,40,"1, 0, 0, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2, 1, 1, 0, 0",0.89,28,"15:37:59, 15:37:59, 15:38:00, 15:38:00, 15:38:00, 15:38:00, 15:38:01, 15:38:01, 15:38:01, 15:38:01, 15:38:02, 15:38:02, 15:38:02, 15:38:02, 15:38:03, 15:38:03, 15:38:03, 15:38:03, 15:38:04, 15:38:04, 15:38:04, 15:38:04, 15:38:05, 15:38:05, 15:38:05, 15:38:05, 15:38:06, 15:38:06"
