x,y,z,reachable,fraction,radial_distance,t_start,t_end,ocr_series_csv,n_captures
0.35,0.0,0.001,True,1.0,0.001,2025-09-08 15:34:09.155,2025-09-08 15:34:19.157,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z1mm/x350mm_y0mm/raster_log_2025-09-08 15:34:05.221_z1mm_x350mm_y0mm_ocr.csv,40
0.35,0.003,0.001,True,1.0,0.0032,2025-09-08 15:34:21.188,2025-09-08 15:34:31.189,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z1mm/x350mm_y3mm/raster_log_2025-09-08 15:34:05.221_z1mm_x350mm_y3mm_ocr.csv,40
0.35,0.006,0.001,True,1.0,0.0061,2025-09-08 15:34:33.254,2025-09-08 15:34:43.256,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z1mm/x350mm_y6mm/raster_log_2025-09-08 15:34:05.221_z1mm_x350mm_y6mm_ocr.csv,40
0.35,0.009000000000000001,0.001,True,1.0,0.0091,2025-09-08 15:34:45.321,2025-09-08 15:34:55.322,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z1mm/x350mm_y9mm/raster_log_2025-09-08 15:34:05.221_z1mm_x350mm_y9mm_ocr.csv,40
0.35,0.012,0.001,True,1.0,0.012,2025-09-08 15:34:57.388,2025-09-08 15:35:07.390,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z1mm/x350mm_y12mm/raster_log_2025-09-08 15:34:05.221_z1mm_x350mm_y12mm_ocr.csv,40
0.35,0.015,0.001,True,1.0,0.015,2025-09-08 15:35:09.455,2025-09-08 15:35:19.456,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z1mm/x350mm_y15mm/raster_log_2025-09-08 15:34:05.221_z1mm_x350mm_y15mm_ocr.csv,40
0.353,0.015,0.001,True,1.0,0.0153,2025-09-08 15:35:21.521,2025-09-08 15:35:31.522,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z1mm/x353mm_y15mm/raster_log_2025-09-08 15:34:05.221_z1mm_x353mm_y15mm_ocr.csv,40
0.353,0.012,0.001,True,1.0,0.0124,2025-09-08 15:35:33.554,2025-09-08 15:35:43.556,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z1mm/x353mm_y12mm/raster_log_2025-09-08 15:34:05.221_z1mm_x353mm_y12mm_ocr.csv,40
0.353,0.009000000000000001,0.001,True,1.0,0.0095,2025-09-08 15:35:45.588,2025-09-08 15:35:55.597,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z1mm/x353mm_y9mm/raster_log_2025-09-08 15:34:05.221_z1mm_x353mm_y9mm_ocr.csv,40
0.353,0.006,0.001,True,1.0,0.0068,2025-09-08 15:35:57.654,2025-09-08 15:36:07.655,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z1mm/x353mm_y6mm/raster_log_2025-09-08 15:34:05.221_z1mm_x353mm_y6mm_ocr.csv,40
0.353,0.003,0.001,True,1.0,0.0044,2025-09-08 15:36:09.721,2025-09-08 15:36:19.722,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z1mm/x353mm_y3mm/raster_log_2025-09-08 15:34:05.221_z1mm_x353mm_y3mm_ocr.csv,40
0.353,0.0,0.001,True,1.0,0.0032,2025-09-08 15:36:21.788,2025-09-08 15:36:31.789,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z1mm/x353mm_y0mm/raster_log_2025-09-08 15:34:05.221_z1mm_x353mm_y0mm_ocr.csv,40
0.356,0.0,0.001,True,1.0,0.0061,2025-09-08 15:36:33.821,2025-09-08 15:36:43.823,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z1mm/x356mm_y0mm/raster_log_2025-09-08 15:34:05.221_z1mm_x356mm_y0mm_ocr.csv,40
0.356,0.003,0.001,True,1.0,0.0068,2025-09-08 15:36:45.854,2025-09-08 15:36:55.856,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z1mm/x356mm_y3mm/raster_log_2025-09-08 15:34:05.221_z1mm_x356mm_y3mm_ocr.csv,40
0.356,0.006,0.001,True,1.0,0.0085,2025-09-08 15:36:57.888,2025-09-08 15:37:07.889,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z1mm/x356mm_y6mm/raster_log_2025-09-08 15:34:05.221_z1mm_x356mm_y6mm_ocr.csv,40
0.356,0.009000000000000001,0.001,True,1.0,0.0109,2025-09-08 15:37:09.921,2025-09-08 15:37:19.922,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z1mm/x356mm_y9mm/raster_log_2025-09-08 15:34:05.221_z1mm_x356mm_y9mm_ocr.csv,40
0.356,0.012,0.001,True,1.0,0.0135,2025-09-08 15:37:21.955,2025-09-08 15:37:31.956,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z1mm/x356mm_y12mm/raster_log_2025-09-08 15:34:05.221_z1mm_x356mm_y12mm_ocr.csv,40
0.356,0.015,0.001,True,1.0,0.0162,2025-09-08 15:37:33.988,2025-09-08 15:37:43.990,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z1mm/x356mm_y15mm/raster_log_2025-09-08 15:34:05.221_z1mm_x356mm_y15mm_ocr.csv,40
