x,y,z,reachable,fraction,radial_distance,time_start,time_end,ocr_series_csv,n_captures
0.35,0.0,0.04,True,1.0,0.04,2025-09-08 11:28:00.050,2025-09-08 11:28:06.478,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z40mm/x350mm_y0mm/raster_log_2025-09-08 11:27:58.027_z40mm_x350mm_y0mm_ocr.csv,10
0.35,0.1,0.04,True,1.0,0.1077,2025-09-08 11:28:06.490,2025-09-08 11:28:12.563,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z40mm/x350mm_y100mm/raster_log_2025-09-08 11:27:58.027_z40mm_x350mm_y100mm_ocr.csv,10
0.35,0.2,0.04,True,1.0,0.20396,2025-09-08 11:28:12.574,2025-09-08 11:28:18.633,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z40mm/x350mm_y200mm/raster_log_2025-09-08 11:27:58.027_z40mm_x350mm_y200mm_ocr.csv,10
0.35,0.30000000000000004,0.04,True,1.0,0.30265,2025-09-08 11:28:18.644,2025-09-08 11:28:24.661,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z40mm/x350mm_y300mm/raster_log_2025-09-08 11:27:58.027_z40mm_x350mm_y300mm_ocr.csv,10
0.35,0.4,0.04,True,1.0,0.402,2025-09-08 11:28:24.672,2025-09-08 11:28:30.764,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z40mm/x350mm_y400mm/raster_log_2025-09-08 11:27:58.027_z40mm_x350mm_y400mm_ocr.csv,10
0.44999999999999996,0.4,0.04,True,1.0,0.41425,2025-09-08 11:28:30.777,2025-09-08 11:28:36.889,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z40mm/x450mm_y400mm/raster_log_2025-09-08 11:27:58.027_z40mm_x450mm_y400mm_ocr.csv,10
0.44999999999999996,0.30000000000000004,0.04,True,1.0,0.31875,2025-09-08 11:28:36.910,2025-09-08 11:28:42.994,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z40mm/x450mm_y300mm/raster_log_2025-09-08 11:27:58.027_z40mm_x450mm_y300mm_ocr.csv,10
0.44999999999999996,0.2,0.04,True,1.0,0.22716,2025-09-08 11:28:43.007,2025-09-08 11:28:49.047,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z40mm/x450mm_y200mm/raster_log_2025-09-08 11:27:58.027_z40mm_x450mm_y200mm_ocr.csv,10
0.44999999999999996,0.1,0.04,True,1.0,0.14697,2025-09-08 11:28:49.061,2025-09-08 11:28:55.103,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z40mm/x450mm_y100mm/raster_log_2025-09-08 11:27:58.027_z40mm_x450mm_y100mm_ocr.csv,10
0.44999999999999996,0.0,0.04,True,1.0,0.1077,2025-09-08 11:28:55.115,2025-09-08 11:29:01.073,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z40mm/x450mm_y0mm/raster_log_2025-09-08 11:27:58.027_z40mm_x450mm_y0mm_ocr.csv,10
0.55,0.0,0.04,True,1.0,0.20396,2025-09-08 11:29:01.086,2025-09-08 11:29:07.498,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z40mm/x550mm_y0mm/raster_log_2025-09-08 11:27:58.027_z40mm_x550mm_y0mm_ocr.csv,10
