z,attempt,points_total,points_reached,reach_fraction,delta,raster_size,auto_success,started_at,finished_at,csv_path
0.005,1,36,36,1.0,0.005,6,True,2025-09-08 15:56:02.689,2025-09-08 16:01:49.166,/home/hannah_kunze/catkin_ws/raster_results/raster_log_2025-09-08 15:56:00.688_z5mm.csv
0.01,1,36,36,1.0,0.005,6,True,2025-09-08 16:02:43.166,2025-09-08 16:08:27.858,/home/hannah_kunze/catkin_ws/raster_results/raster_log_2025-09-08 15:56:00.688_z10mm.csv
