x,y,z,reachable,fraction,radial_distance,time_start,time_end,ocr_series_csv,n_captures
0.365,0.005,0.005,True,1.0,0.01658,2025-09-08 15:59:35.261,2025-09-08 15:59:44.824,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z5mm/x365mm_y5mm/raster_log_2025-09-08 15:56:00.688_z5mm_x365mm_y5mm_ocr.csv,18
0.365,0.0,0.005,True,1.0,0.01581,2025-09-08 15:59:44.826,2025-09-08 15:59:54.357,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z5mm/x365mm_y0mm/raster_log_2025-09-08 15:56:00.688_z5mm_x365mm_y0mm_ocr.csv,18
0.37,0.0,0.005,True,1.0,0.02062,2025-09-08 15:59:54.360,2025-09-08 16:00:03.924,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z5mm/x370mm_y0mm/raster_log_2025-09-08 15:56:00.688_z5mm_x370mm_y0mm_ocr.csv,18
0.37,0.005,0.005,True,1.0,0.02121,2025-09-08 16:00:03.927,2025-09-08 16:00:13.490,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z5mm/x370mm_y5mm/raster_log_2025-09-08 15:56:00.688_z5mm_x370mm_y5mm_ocr.csv,18
0.37,0.01,0.005,True,1.0,0.02291,2025-09-08 16:00:13.493,2025-09-08 16:00:23.057,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z5mm/x370mm_y10mm/raster_log_2025-09-08 15:56:00.688_z5mm_x370mm_y10mm_ocr.csv,18
0.37,0.015,0.005,True,1.0,0.0255,2025-09-08 16:00:23.060,2025-09-08 16:00:32.622,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z5mm/x370mm_y15mm/raster_log_2025-09-08 15:56:00.688_z5mm_x370mm_y15mm_ocr.csv,18
0.37,0.02,0.005,True,1.0,0.02872,2025-09-08 16:00:32.626,2025-09-08 16:00:42.188,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z5mm/x370mm_y20mm/raster_log_2025-09-08 15:56:00.688_z5mm_x370mm_y20mm_ocr.csv,18
0.37,0.025,0.005,True,1.0,0.0324,2025-09-08 16:00:42.191,2025-09-08 16:00:51.757,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z5mm/x370mm_y25mm/raster_log_2025-09-08 15:56:00.688_z5mm_x370mm_y25mm_ocr.csv,18
0.375,0.025,0.005,True,1.0,0.03571,2025-09-08 16:00:51.761,2025-09-08 16:01:01.332,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z5mm/x375mm_y25mm/raster_log_2025-09-08 15:56:00.688_z5mm_x375mm_y25mm_ocr.csv,18
0.375,0.02,0.005,True,1.0,0.0324,2025-09-08 16:01:01.337,2025-09-08 16:01:10.889,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z5mm/x375mm_y20mm/raster_log_2025-09-08 15:56:00.688_z5mm_x375mm_y20mm_ocr.csv,18
0.375,0.015,0.005,True,1.0,0.02958,2025-09-08 16:01:10.892,2025-09-08 16:01:20.456,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z5mm/x375mm_y15mm/raster_log_2025-09-08 15:56:00.688_z5mm_x375mm_y15mm_ocr.csv,18
0.375,0.01,0.005,True,1.0,0.02739,2025-09-08 16:01:20.459,2025-09-08 16:01:30.024,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z5mm/x375mm_y10mm/raster_log_2025-09-08 15:56:00.688_z5mm_x375mm_y10mm_ocr.csv,18
0.375,0.005,0.005,True,1.0,0.02598,2025-09-08 16:01:30.028,2025-09-08 16:01:39.588,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z5mm/x375mm_y5mm/raster_log_2025-09-08 15:56:00.688_z5mm_x375mm_y5mm_ocr.csv,18
0.375,0.0,0.005,True,1.0,0.0255,2025-09-08 16:01:39.593,2025-09-08 16:01:49.165,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z5mm/x375mm_y0mm/raster_log_2025-09-08 15:56:00.688_z5mm_x375mm_y0mm_ocr.csv,18
