idx,t_iso,elapsed_s,ocr_text,extracted_number,img_path
1,2025-09-04T15:03:20.476030,0.001,6,6,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z300mm/x450mm_y100mm/raster_log_2025-09-04 14:56:57.231_z300mm_x450mm_y100mm_2025-09-04_15-03-20.475_000.png
2,2025-09-04T15:03:20.976787,0.502,6,6,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z300mm/x450mm_y100mm/raster_log_2025-09-04 14:56:57.231_z300mm_x450mm_y100mm_2025-09-04_15-03-20.976_001.png
3,2025-09-04T15:03:21.479900,1.002,o,0,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z300mm/x450mm_y100mm/raster_log_2025-09-04 14:56:57.231_z300mm_x450mm_y100mm_2025-09-04_15-03-21.479_002.png
4,2025-09-04T15:03:21.975726,1.502,1,1,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z300mm/x450mm_y100mm/raster_log_2025-09-04 14:56:57.231_z300mm_x450mm_y100mm_2025-09-04_15-03-21.975_003.png
5,2025-09-04T15:03:22.475382,2.002,1,1,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z300mm/x450mm_y100mm/raster_log_2025-09-04 14:56:57.231_z300mm_x450mm_y100mm_2025-09-04_15-03-22.474_004.png
6,2025-09-04T15:03:22.974697,2.5,o,0,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z300mm/x450mm_y100mm/raster_log_2025-09-04 14:56:57.231_z300mm_x450mm_y100mm_2025-09-04_15-03-22.974_005.png
7,2025-09-04T15:03:23.474693,3.002,2,2,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z300mm/x450mm_y100mm/raster_log_2025-09-04 14:56:57.231_z300mm_x450mm_y100mm_2025-09-04_15-03-23.474_006.png
8,2025-09-04T15:03:23.984693,3.502,2,2,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z300mm/x450mm_y100mm/raster_log_2025-09-04 14:56:57.231_z300mm_x450mm_y100mm_2025-09-04_15-03-23.984_007.png
9,2025-09-04T15:03:24.480539,4.002,o,0,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z300mm/x450mm_y100mm/raster_log_2025-09-04 14:56:57.231_z300mm_x450mm_y100mm_2025-09-04_15-03-24.480_008.png
10,2025-09-04T15:03:24.980361,4.502,o,0,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z300mm/x450mm_y100mm/raster_log_2025-09-04 14:56:57.231_z300mm_x450mm_y100mm_2025-09-04_15-03-24.979_009.png
