idx,t_iso,elapsed_s,ocr_text,extracted_number,img_path
1,2025-09-08T15:38:22.183486,0.0,127,127,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z1mm/x359mm_y6mm/raster_log_2025-09-08 15:34:05.221_z1mm_x359mm_y6mm_2025-09-08_15-38-22.179_000.png
2,2025-09-08T15:38:22.436109,0.251,163,163,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z1mm/x359mm_y6mm/raster_log_2025-09-08 15:34:05.221_z1mm_x359mm_y6mm_2025-09-08_15-38-22.435_001.png
3,2025-09-08T15:38:22.682749,0.5,163,163,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z1mm/x359mm_y6mm/raster_log_2025-09-08 15:34:05.221_z1mm_x359mm_y6mm_2025-09-08_15-38-22.682_002.png
4,2025-09-08T15:38:22.930572,0.751,112,112,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z1mm/x359mm_y6mm/raster_log_2025-09-08 15:34:05.221_z1mm_x359mm_y6mm_2025-09-08_15-38-22.930_003.png
5,2025-09-08T15:38:23.182096,1.001,21,21,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z1mm/x359mm_y6mm/raster_log_2025-09-08 15:34:05.221_z1mm_x359mm_y6mm_2025-09-08_15-38-23.181_004.png
6,2025-09-08T15:38:23.431894,1.251,21,21,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z1mm/x359mm_y6mm/raster_log_2025-09-08 15:34:05.221_z1mm_x359mm_y6mm_2025-09-08_15-38-23.431_005.png
7,2025-09-08T15:38:23.679598,1.5,1,1,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z1mm/x359mm_y6mm/raster_log_2025-09-08 15:34:05.221_z1mm_x359mm_y6mm_2025-09-08_15-38-23.679_006.png
8,2025-09-08T15:38:23.936395,1.751,1,1,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z1mm/x359mm_y6mm/raster_log_2025-09-08 15:34:05.221_z1mm_x359mm_y6mm_2025-09-08_15-38-23.935_007.png
9,2025-09-08T15:38:24.183395,2.001,1,1,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z1mm/x359mm_y6mm/raster_log_2025-09-08 15:34:05.221_z1mm_x359mm_y6mm_2025-09-08_15-38-24.182_008.png
10,2025-09-08T15:38:24.431751,2.251,3,3,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z1mm/x359mm_y6mm/raster_log_2025-09-08 15:34:05.221_z1mm_x359mm_y6mm_2025-09-08_15-38-24.431_009.png
11,2025-09-08T15:38:24.687924,2.5,3,3,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z1mm/x359mm_y6mm/raster_log_2025-09-08 15:34:05.221_z1mm_x359mm_y6mm_2025-09-08_15-38-24.687_010.png
12,2025-09-08T15:38:24.929207,2.751,3,3,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z1mm/x359mm_y6mm/raster_log_2025-09-08 15:34:05.221_z1mm_x359mm_y6mm_2025-09-08_15-38-24.928_011.png
13,2025-09-08T15:38:25.185370,3.0,3,3,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z1mm/x359mm_y6mm/raster_log_2025-09-08 15:34:05.221_z1mm_x359mm_y6mm_2025-09-08_15-38-25.184_012.png
14,2025-09-08T15:38:25.428232,3.251,2,2,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z1mm/x359mm_y6mm/raster_log_2025-09-08 15:34:05.221_z1mm_x359mm_y6mm_2025-09-08_15-38-25.427_013.png
15,2025-09-08T15:38:25.678536,3.501,2,2,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z1mm/x359mm_y6mm/raster_log_2025-09-08 15:34:05.221_z1mm_x359mm_y6mm_2025-09-08_15-38-25.677_014.png
16,2025-09-08T15:38:25.927388,3.751,2,2,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z1mm/x359mm_y6mm/raster_log_2025-09-08 15:34:05.221_z1mm_x359mm_y6mm_2025-09-08_15-38-25.926_015.png
17,2025-09-08T15:38:26.178387,4.001,1,1,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z1mm/x359mm_y6mm/raster_log_2025-09-08 15:34:05.221_z1mm_x359mm_y6mm_2025-09-08_15-38-26.177_016.png
18,2025-09-08T15:38:26.427744,4.251,1,1,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z1mm/x359mm_y6mm/raster_log_2025-09-08 15:34:05.221_z1mm_x359mm_y6mm_2025-09-08_15-38-26.427_017.png
